Order_ID,Order_Date,Customer_ID,Product_ID,Store_ID,Employee_ID,Quantity,Unit_Price,Discount_%,GST_%,Final_Amount,Payment_Mode,Order_Status
ORD2400001,2024-08-14,C00318,P0009,S015,E0043,4,3564.29,0,18,16823.45,Credit Card,Delivered
ORD2400002,2024-12-26,C00169,P0029,S017,E0013,3,7381.9,20,18,20905.54,Cash,Delivered
ORD2400003,2025-02-06,C00305,P0015,S021,E0020,1,1787.12,20,18,1687.04,Debit Card,Delivered
ORD2400004,2024-08-16,C00364,P0009,S014,E0009,2,3564.29,5,18,7991.14,Cash,Delivered
ORD2400005,2024-09-12,C00365,P0039,S007,E0040,1,2811.5,0,18,3317.57,UPI,Delivered
ORD2400006,2025-03-11,C00340,P0035,S015,E0048,3,3529.57,10,18,11245.21,Credit Card,Delivered
ORD2400007,2024-10-26,C00287,P0052,S012,E0018,3,7507.14,15,18,22588.98,Debit Card,Delivered
ORD2400008,2024-10-08,C00409,P0046,S002,E0024,3,1738.3,5,18,5845.9,Debit Card,Delivered
ORD2400009,2024-09-03,C00298,P0054,S015,E0040,2,4941.23,5,18,11078.24,Debit Card,Delivered
ORD2400010,2025-02-13,C00306,P0006,S016,E0025,3,2138.35,5,18,7191.27,Credit Card,Returned
ORD2400011,2025-06-05,C00335,P0082,S007,E0004,1,4422.51,5,18,4957.63,Credit Card,Delivered
ORD2400012,2025-05-22,C00475,P0046,S019,E0023,4,1738.3,20,18,6563.82,Debit Card,Delivered
ORD2400013,2024-09-15,C00398,P0080,S020,E0021,2,4920.76,20,18,9290.39,Credit Card,Delivered
ORD2400014,2025-07-05,C00346,P0024,S024,E0027,5,1210.16,5,18,6782.95,Net Banking,Delivered
ORD2400015,2024-07-29,C00132,P0066,S020,E0006,5,1237.06,15,18,6203.86,Cash,Delivered
ORD2400016,2024-11-12,C00097,P0093,S022,E0038,5,2886.85,20,18,13625.93,Net Banking,Cancelled
ORD2400017,2025-02-02,C00326,P0034,S002,E0018,3,2475.87,20,18,7011.66,Net Banking,Delivered
ORD2400018,2024-11-21,C00145,P0039,S009,E0001,5,2811.5,5,18,15758.46,Cash,Delivered
ORD2400019,2024-12-23,C00226,P0014,S009,E0023,3,4003.89,10,18,12756.39,Debit Card,Delivered
ORD2400020,2025-04-27,C00355,P0015,S016,E0047,3,1787.12,15,18,5377.44,Cash,Cancelled
ORD2400021,2025-04-23,C00049,P0069,S018,E0048,5,277.13,15,18,1389.81,UPI,Delivered
ORD2400022,2024-12-30,C00444,P0085,S014,E0036,3,3327.38,5,18,11189.98,Credit Card,Delivered
ORD2400023,2025-02-15,C00261,P0007,S021,E0046,3,3824.14,5,18,12860.58,UPI,Delivered
